,INDEX,PARENT1,MSTATUS,SEX,EDUCATION,JOB,CAR_USE,CAR_TYPE,RED_CAR,REVOKED,URBANICITY,INCOME,HOME_VAL,BLUEBOOK,OLDCLAIM,KIDSDRIV,AGE,HOMEKIDS,YOJ,TRAVTIME,TIF,CLM_FREQ,MVR_PTS,CAR_AGE,TARGET_FLAG
60,78,0,0,0,0,6,1,4,1,1,0,18.0,18.0,33710.0,34351.0,0,18.0,0,18.0,31,3,2,2,18.0,0
61,79,0,0,1,3,5,0,0,1,1,0,11.0,11.0,14050.0,0.0,0,11.0,0,11.0,13,3,0,2,11.0,0
62,80,0,1,1,0,4,0,1,1,0,0,20.0,20.0,10250.0,4307.0,0,20.0,1,20.0,28,1,3,6,20.0,0
63,81,0,0,0,4,6,1,4,0,1,0,12.0,12.0,33320.0,0.0,0,12.0,0,12.0,22,4,0,1,12.0,0
64,82,0,1,0,4,6,1,5,0,0,0,8.0,8.0,10910.0,25106.0,0,8.0,0,8.0,30,13,2,0,8.0,0
65,84,0,0,1,0,3,0,1,1,0,0,18.0,18.0,27600.0,0.0,0,18.0,0,18.0,11,1,0,0,18.0,0
66,85,0,1,1,3,0,0,0,1,0,0,1.0,1.0,23640.0,0.0,0,1.0,0,1.0,9,6,0,0,1.0,0
67,86,1,0,0,3,0,0,0,0,0,0,11.0,11.0,1500.0,0.0,1,11.0,2,11.0,25,1,0,2,11.0,1
68,88,0,1,1,1,7,0,2,1,0,0,8.0,8.0,8660.0,8363.0,0,8.0,0,8.0,50,3,2,3,8.0,0
69,89,0,1,1,3,1,1,1,1,0,0,3.0,3.0,5200.0,2718.0,1,3.0,2,3.0,43,1,1,1,3.0,1
70,90,0,0,1,2,2,0,2,1,0,0,1.0,1.0,4860.0,0.0,0,1.0,0,1.0,49,10,0,0,1.0,0
71,91,0,1,0,1,2,1,5,1,0,0,1.0,1.0,9640.0,1212.0,0,1.0,0,1.0,14,13,1,4,1.0,1
72,93,0,1,1,4,0,0,1,1,0,0,14.0,14.0,6400.0,9115.0,0,14.0,0,14.0,42,10,1,6,14.0,0
73,94,1,0,1,1,1,1,2,1,0,1,1.0,1.0,22050.0,0.0,0,1.0,2,1.0,35,10,0,0,1.0,0
74,95,0,0,1,0,4,0,0,1,0,1,14.0,14.0,22830.0,0.0,0,14.0,0,14.0,42,1,0,0,14.0,0
75,96,1,0,1,2,1,0,0,1,0,1,6.0,6.0,12380.0,0.0,0,6.0,1,6.0,50,13,0,0,6.0,0
76,97,0,1,0,3,5,0,0,1,0,0,11.0,11.0,14000.0,0.0,0,11.0,0,11.0,61,6,0,0,11.0,0
77,99,0,1,1,1,1,1,1,1,0,0,1.0,1.0,13140.0,0.0,0,1.0,0,1.0,32,1,0,4,1.0,1
78,100,0,0,1,3,5,0,1,1,0,0,8.0,8.0,15360.0,0.0,0,8.0,0,8.0,21,1,0,0,8.0,0
79,101,1,0,0,1,0,0,0,1,0,0,1.0,1.0,15160.0,0.0,0,1.0,1,1.0,15,6,0,0,1.0,0
80,102,0,0,0,4,4,0,5,1,0,0,8.0,8.0,10620.0,0.0,0,8.0,0,8.0,23,6,0,0,8.0,0
81,103,0,1,1,4,4,0,0,1,0,0,13.0,13.0,19380.0,0.0,0,13.0,0,13.0,5,6,0,0,13.0,0
82,104,0,1,0,3,1,1,5,0,0,0,11.0,11.0,5760.0,969.0,0,11.0,0,11.0,21,1,2,6,11.0,0
83,105,0,1,1,1,2,0,1,1,0,1,8.0,8.0,16220.0,0.0,0,8.0,0,8.0,28,4,0,0,8.0,0
84,108,0,0,0,4,4,0,3,0,0,0,15.0,15.0,18110.0,759.0,0,15.0,0,15.0,36,1,2,3,15.0,0
85,109,0,1,1,1,7,0,1,1,0,0,1.0,1.0,11740.0,1800.0,0,1.0,3,1.0,25,9,2,2,1.0,1
86,110,0,1,0,4,0,0,0,0,1,0,17.0,17.0,13800.0,31695.0,0,17.0,0,17.0,24,7,3,4,17.0,0
87,111,0,1,0,4,4,0,0,0,0,0,9.0,9.0,12230.0,0.0,0,9.0,0,9.0,59,4,0,1,9.0,1
88,112,0,0,0,4,6,1,4,0,0,0,17.0,17.0,23350.0,4678.0,0,17.0,0,17.0,17,13,3,6,17.0,1
89,114,0,1,0,3,1,1,4,0,0,0,14.0,14.0,23390.0,0.0,0,14.0,0,14.0,18,13,0,0,14.0,0
90,115,0,1,0,2,2,0,5,0,0,1,8.0,8.0,8080.0,0.0,1,8.0,3,8.0,26,1,0,0,8.0,0
91,116,1,0,0,1,8,1,0,0,0,0,5.0,5.0,15090.0,1631.0,0,5.0,4,5.0,14,1,1,2,5.0,1
92,117,0,1,1,3,8,1,1,1,0,0,6.0,6.0,12850.0,0.0,0,6.0,0,6.0,48,7,0,3,6.0,1
93,118,0,1,1,4,4,0,0,1,0,0,14.0,14.0,21690.0,0.0,1,14.0,1,14.0,63,1,0,2,14.0,0
94,119,0,1,1,3,0,0,1,1,0,0,10.0,10.0,12840.0,1533.0,0,10.0,0,10.0,50,1,2,0,10.0,1
95,121,0,0,1,3,1,1,0,1,0,1,10.0,10.0,15120.0,0.0,0,10.0,0,10.0,36,1,0,3,10.0,0
96,122,0,0,0,4,0,1,4,1,0,0,1.0,1.0,30150.0,12294.0,0,1.0,0,1.0,8,16,1,0,1.0,0
97,124,0,1,0,4,0,0,1,1,0,0,16.0,16.0,11180.0,0.0,0,16.0,1,16.0,23,7,0,0,16.0,0
98,127,0,1,0,2,1,1,5,0,0,0,5.0,5.0,7900.0,8882.0,0,5.0,0,5.0,33,4,3,1,5.0,1
99,130,0,1,1,1,8,0,2,1,0,1,10.0,10.0,7050.0,0.0,1,10.0,1,10.0,40,4,0,0,10.0,0
100,132,0,1,0,3,5,0,3,0,0,0,13.0,13.0,21320.0,0.0,0,13.0,0,13.0,48,1,0,0,13.0,0
101,133,0,1,0,3,1,1,3,1,0,0,8.0,8.0,17550.0,0.0,0,8.0,0,8.0,14,1,0,0,8.0,0
102,134,0,1,0,3,2,1,4,0,0,0,8.0,8.0,29210.0,0.0,0,8.0,0,8.0,33,6,0,0,8.0,0
103,136,0,1,1,4,5,0,2,1,0,0,21.0,21.0,20870.0,0.0,1,21.0,2,21.0,35,1,0,0,21.0,0
104,137,1,0,1,4,5,1,5,1,0,0,18.0,18.0,32690.0,0.0,0,18.0,1,18.0,34,3,0,2,18.0,1
105,138,0,1,1,1,1,1,2,1,1,1,6.0,6.0,13050.0,0.0,3,6.0,3,6.0,53,5,0,0,6.0,0
106,139,0,0,0,3,0,0,0,0,1,0,11.0,11.0,19540.0,0.0,0,11.0,0,11.0,44,6,0,0,11.0,0
107,140,0,1,1,4,5,0,5,1,0,0,17.0,17.0,24240.0,0.0,0,17.0,1,17.0,21,6,0,0,17.0,0
108,142,0,1,1,2,2,0,1,1,0,0,1.0,1.0,5260.0,867.0,1,1.0,1,1.0,36,7,2,0,1.0,1
109,143,0,1,0,1,1,0,5,1,0,0,1.0,1.0,7930.0,0.0,0,1.0,2,1.0,10,1,0,1,1.0,1
110,144,0,1,1,3,1,0,1,1,0,0,10.0,10.0,23640.0,0.0,0,10.0,0,10.0,29,1,0,0,10.0,0
111,145,0,1,0,3,5,0,5,0,0,0,1.0,1.0,11220.0,0.0,0,1.0,0,1.0,24,9,0,1,1.0,0
112,146,0,1,0,1,2,0,0,1,0,0,9.0,9.0,25100.0,9526.0,0,9.0,0,9.0,26,18,4,3,9.0,0
113,149,0,0,0,2,2,0,0,0,0,1,1.0,1.0,7500.0,0.0,0,1.0,0,1.0,5,1,0,0,1.0,0
114,150,0,1,0,4,6,1,4,0,0,0,11.0,11.0,36120.0,0.0,0,11.0,0,11.0,40,4,0,0,11.0,0
115,152,0,1,1,4,4,0,0,1,0,1,16.0,16.0,20210.0,0.0,0,16.0,1,16.0,49,1,0,0,16.0,0
116,153,0,0,1,3,0,0,1,1,0,0,7.0,7.0,16080.0,0.0,0,7.0,0,7.0,40,13,0,0,7.0,0
117,154,0,0,1,3,0,0,1,1,0,0,9.0,9.0,18160.0,0.0,0,9.0,0,9.0,37,7,0,4,9.0,0
118,155,0,1,1,4,6,1,3,1,0,0,4.0,4.0,28180.0,0.0,0,4.0,1,4.0,35,1,0,3,4.0,0
119,158,1,0,1,3,0,0,1,1,1,0,8.0,8.0,19750.0,0.0,1,8.0,2,8.0,52,4,0,0,8.0,1
120,159,0,0,1,0,4,0,1,1,0,0,15.0,15.0,18470.0,0.0,0,15.0,0,15.0,54,3,0,0,15.0,0
121,160,0,0,0,2,8,1,5,0,0,0,1.0,1.0,5700.0,0.0,0,1.0,0,1.0,47,11,0,5,1.0,1
122,161,1,0,1,1,2,0,1,1,0,1,1.0,1.0,11160.0,0.0,0,1.0,2,1.0,38,1,0,0,1.0,0
123,162,0,1,0,4,4,0,0,1,0,0,14.0,14.0,12800.0,0.0,0,14.0,0,14.0,24,7,0,0,14.0,0
124,163,0,1,0,1,2,1,3,0,0,0,7.0,7.0,17300.0,0.0,0,7.0,0,7.0,11,13,0,0,7.0,0
125,164,0,0,0,1,1,1,5,1,1,0,1.0,1.0,11620.0,50701.0,0,1.0,0,1.0,32,1,3,0,1.0,0
126,165,0,1,1,4,4,0,2,1,0,1,16.0,16.0,20240.0,0.0,0,16.0,0,16.0,43,4,0,0,16.0,0
127,166,0,1,1,1,5,0,0,1,0,0,8.0,8.0,20010.0,4179.0,0,8.0,0,8.0,60,1,2,4,8.0,0
128,167,1,0,1,4,4,0,1,1,0,0,20.0,20.0,13130.0,3622.0,0,20.0,2,20.0,35,1,3,4,20.0,1
129,168,0,1,1,2,8,1,5,1,1,0,1.0,1.0,15760.0,1738.0,1,1.0,1,1.0,28,4,2,4,1.0,1
130,169,0,1,1,1,1,1,2,1,0,0,1.0,1.0,14530.0,6891.0,0,1.0,3,1.0,50,12,2,5,1.0,0
131,170,0,1,1,4,4,0,1,1,0,0,15.0,15.0,20350.0,0.0,0,15.0,3,15.0,40,6,0,0,15.0,1
132,171,0,0,0,2,8,0,5,1,0,1,1.0,1.0,7000.0,0.0,0,1.0,0,1.0,33,4,0,0,1.0,0
133,172,0,0,1,3,5,0,1,1,0,0,10.0,10.0,5500.0,6803.0,0,10.0,0,10.0,36,10,2,6,10.0,0
134,173,0,1,1,3,2,0,2,1,0,0,13.0,13.0,9570.0,0.0,0,13.0,0,13.0,49,7,0,1,13.0,0
135,175,0,1,0,1,2,0,5,0,0,0,12.0,12.0,8490.0,0.0,0,12.0,0,12.0,29,6,0,1,12.0,0
136,176,0,1,0,4,0,0,5,0,0,0,18.0,18.0,11940.0,974.0,0,18.0,0,18.0,31,7,2,6,18.0,0
137,177,0,0,1,4,5,0,0,1,0,0,14.0,14.0,24930.0,0.0,0,14.0,0,14.0,16,4,0,3,14.0,0
138,178,0,1,1,2,2,1,5,1,0,0,1.0,1.0,21990.0,0.0,0,1.0,0,1.0,24,11,0,1,1.0,0
139,179,1,0,1,4,5,0,1,1,0,0,14.0,14.0,10170.0,5877.0,1,14.0,1,14.0,26,7,3,7,14.0,0
140,180,1,0,0,1,2,1,5,0,0,0,7.0,7.0,12180.0,0.0,0,7.0,1,7.0,35,7,0,0,7.0,0
141,181,0,1,1,0,7,0,1,1,0,0,1.0,1.0,18110.0,0.0,0,1.0,0,1.0,29,7,0,1,1.0,0
142,182,0,1,0,1,2,0,0,0,0,0,1.0,1.0,6040.0,0.0,0,1.0,0,1.0,39,10,0,0,1.0,0
143,183,0,0,0,0,3,0,3,0,0,0,8.0,8.0,21200.0,0.0,0,8.0,0,8.0,37,4,0,0,8.0,0
144,184,0,0,1,2,2,0,1,1,0,0,7.0,7.0,11650.0,6175.0,0,7.0,0,7.0,16,10,1,2,7.0,0
145,185,0,1,0,3,1,1,4,1,0,1,14.0,14.0,27890.0,0.0,0,14.0,0,14.0,45,4,0,0,14.0,0
146,187,1,0,1,3,2,0,0,1,0,0,8.0,8.0,18120.0,0.0,0,8.0,4,8.0,21,8,0,0,8.0,0
147,188,0,1,1,4,4,0,1,1,0,0,10.0,10.0,12490.0,0.0,0,10.0,2,10.0,21,1,0,0,10.0,0
148,189,0,1,0,3,0,0,0,0,0,0,10.0,10.0,15920.0,0.0,0,10.0,2,10.0,14,13,0,2,10.0,0
149,190,0,1,0,1,1,1,5,0,0,0,1.0,1.0,8460.0,7437.0,0,1.0,0,1.0,48,10,2,6,1.0,0
150,191,0,0,0,1,8,0,0,0,0,1,8.0,8.0,14130.0,0.0,0,8.0,0,8.0,69,1,0,1,8.0,0
151,192,0,0,1,2,2,0,2,1,0,1,1.0,1.0,10500.0,0.0,0,1.0,0,1.0,52,6,0,0,1.0,0
152,194,0,0,1,3,5,0,0,1,0,0,18.0,18.0,24260.0,0.0,0,18.0,0,18.0,31,4,0,0,18.0,0
153,196,0,0,1,0,3,0,2,1,0,0,17.0,17.0,13160.0,0.0,0,17.0,0,17.0,45,1,0,0,17.0,1
154,197,0,1,1,3,0,0,0,1,0,0,4.0,4.0,14960.0,7650.0,0,4.0,0,4.0,55,6,3,5,4.0,0
155,198,1,0,1,1,7,1,3,1,0,1,1.0,1.0,34510.0,0.0,0,1.0,3,1.0,9,7,0,0,1.0,0
156,199,0,0,1,3,0,0,2,1,0,1,11.0,11.0,21660.0,0.0,0,11.0,0,11.0,28,6,0,0,11.0,0
157,200,0,0,0,1,2,1,4,0,0,1,1.0,1.0,31390.0,0.0,0,1.0,0,1.0,17,1,0,3,1.0,0
158,201,0,1,1,2,2,0,2,1,0,0,7.0,7.0,11300.0,19385.0,0,7.0,0,7.0,37,10,1,4,7.0,0
159,202,0,1,1,3,7,0,1,1,0,0,9.0,9.0,27890.0,25147.0,0,9.0,0,9.0,29,13,2,0,9.0,0
160,203,0,1,1,2,8,0,2,1,0,1,7.0,7.0,1500.0,1175.0,1,7.0,1,7.0,34,10,3,2,7.0,0
161,204,0,0,1,1,2,0,1,1,0,0,7.0,7.0,1500.0,0.0,0,7.0,0,7.0,12,6,0,0,7.0,1
162,205,0,1,1,3,0,0,1,1,0,1,9.0,9.0,11530.0,0.0,0,9.0,0,9.0,31,13,0,0,9.0,0
163,206,1,0,0,1,7,0,0,1,1,0,1.0,1.0,16510.0,17445.0,1,1.0,3,1.0,36,4,3,0,1.0,1
164,207,0,1,1,1,7,0,2,1,0,1,9.0,9.0,8560.0,0.0,0,9.0,0,9.0,73,10,0,0,9.0,0
165,208,0,1,0,2,2,0,0,0,0,0,5.0,5.0,5800.0,0.0,0,5.0,2,5.0,49,10,0,1,5.0,0
166,209,1,0,1,3,7,0,1,1,0,0,9.0,9.0,18820.0,5537.0,1,9.0,1,9.0,21,6,1,6,9.0,0
167,210,0,1,0,4,6,1,4,1,0,0,19.0,19.0,23320.0,0.0,0,19.0,0,19.0,44,10,0,3,19.0,0
168,211,0,1,1,2,1,0,2,1,0,1,1.0,1.0,13420.0,3573.0,0,1.0,0,1.0,37,1,3,3,1.0,0
169,214,0,1,1,3,5,0,1,1,0,0,5.0,5.0,9930.0,0.0,0,5.0,0,5.0,36,4,0,3,5.0,1
170,215,0,1,0,1,1,1,0,0,0,0,8.0,8.0,10350.0,1507.0,0,8.0,0,8.0,59,14,1,0,8.0,0
171,216,0,1,1,3,5,1,5,1,0,0,6.0,6.0,27020.0,1780.0,0,6.0,0,6.0,45,7,3,0,6.0,0
172,218,0,1,1,4,4,0,1,1,0,0,8.0,8.0,25450.0,5958.0,0,8.0,0,8.0,7,6,2,5,8.0,0
173,219,0,1,0,1,1,1,5,1,0,1,1.0,1.0,7470.0,0.0,0,1.0,2,1.0,42,7,0,0,1.0,0
174,220,0,1,1,4,4,0,0,1,0,1,15.0,15.0,13740.0,8450.0,0,15.0,0,15.0,38,4,1,0,15.0,0
175,221,0,0,0,2,1,1,5,0,0,0,1.0,1.0,10020.0,0.0,0,1.0,0,1.0,48,13,0,0,1.0,1
176,222,1,0,1,1,2,0,2,1,1,0,7.0,7.0,12930.0,35666.0,0,7.0,2,7.0,41,13,2,0,7.0,1
177,224,1,0,1,4,7,0,0,1,0,1,17.0,17.0,32090.0,0.0,0,17.0,2,17.0,18,6,0,0,17.0,0
178,225,0,1,1,1,8,0,1,1,0,0,10.0,10.0,1500.0,0.0,3,10.0,4,10.0,54,4,0,5,10.0,1
179,227,0,1,1,1,0,0,1,1,0,0,1.0,1.0,12310.0,8948.0,0,1.0,0,1.0,18,1,1,0,1.0,0
180,229,0,0,0,1,0,0,0,0,0,0,1.0,1.0,14390.0,0.0,0,1.0,0,1.0,25,1,0,0,1.0,0
181,231,0,1,1,1,8,1,1,1,0,1,1.0,1.0,6120.0,0.0,0,1.0,3,1.0,10,10,0,0,1.0,0
182,232,0,1,1,1,5,0,5,1,0,0,8.0,8.0,22920.0,0.0,0,8.0,0,8.0,25,10,0,0,8.0,0
183,233,0,1,1,1,0,0,3,1,0,0,1.0,1.0,25700.0,0.0,0,1.0,0,1.0,27,1,0,0,1.0,0
184,234,0,1,1,4,4,0,2,1,0,0,1.0,1.0,6900.0,0.0,0,1.0,1,1.0,44,3,0,0,1.0,0
185,235,1,0,0,4,6,1,4,0,1,0,20.0,20.0,42550.0,35879.0,0,20.0,3,20.0,37,1,1,0,20.0,1
186,236,0,0,1,3,5,0,1,1,0,0,6.0,6.0,8160.0,6836.0,0,6.0,0,6.0,55,1,3,0,6.0,0
187,237,0,1,1,1,1,1,0,1,1,0,1.0,1.0,13160.0,8569.0,0,1.0,0,1.0,32,13,3,3,1.0,0
188,238,0,1,1,2,7,0,1,1,0,0,7.0,7.0,13850.0,0.0,0,7.0,0,7.0,31,1,0,0,7.0,1
189,239,0,0,0,4,6,1,4,1,0,0,14.0,14.0,24220.0,0.0,0,14.0,0,14.0,34,4,0,3,14.0,0
190,240,0,1,1,2,2,0,1,1,0,1,5.0,5.0,14030.0,0.0,0,5.0,3,5.0,58,3,0,0,5.0,1
191,242,0,0,1,0,3,0,1,1,0,0,14.0,14.0,14870.0,0.0,0,14.0,0,14.0,40,1,0,2,14.0,1
192,244,0,0,1,4,4,0,3,1,0,0,18.0,18.0,23260.0,0.0,0,18.0,0,18.0,40,17,0,0,18.0,0
193,245,1,0,0,1,1,1,0,0,0,0,1.0,1.0,12240.0,0.0,0,1.0,2,1.0,39,7,0,0,1.0,0
194,246,0,1,1,4,5,0,1,1,0,0,17.0,17.0,12070.0,0.0,0,17.0,0,17.0,39,3,0,0,17.0,0
195,247,0,0,0,1,5,1,3,1,0,0,13.0,13.0,21070.0,3460.0,0,13.0,0,13.0,43,1,1,1,13.0,0
196,248,0,1,0,3,1,1,0,0,0,0,7.0,7.0,23190.0,0.0,1,7.0,2,7.0,40,1,0,0,7.0,0
197,250,0,0,1,0,6,1,5,1,0,0,17.0,17.0,28380.0,0.0,0,17.0,0,17.0,47,10,0,2,17.0,0
198,251,0,0,0,1,0,1,5,0,0,1,8.0,8.0,10950.0,0.0,0,8.0,0,8.0,22,13,0,0,8.0,0
199,252,0,0,1,1,7,0,0,1,0,1,1.0,1.0,19810.0,0.0,0,1.0,0,1.0,55,7,0,1,1.0,0
200,253,0,1,1,2,2,0,2,1,0,0,1.0,1.0,7990.0,0.0,0,1.0,0,1.0,14,1,0,0,1.0,0
201,254,0,1,1,4,4,0,1,1,0,0,17.0,17.0,7080.0,5486.0,0,17.0,0,17.0,35,6,1,5,17.0,0
